Issue Type,Issue key,Issue id,Summary,Status,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Description,Custom field (Parent Link)
Requirement,DMFDREQ-638,81014,COM2 FREQ MSMTCH CAS Message,In Requirement Review,,,,,,,,MFD-1343,APRD-1669,APRD-1672,,,"MFD shall annunciate ""COM2 FREQ MSMTCH"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Advisory|COM2 Active or standby requested and reported com frequencies do not match|0.5|0.5|YES| |",
Requirement,DMFDREQ-637,81013,COM1 FREQ MSMTCH CAS Message,In Requirement Review,,,,,,,,MFD-1342,APRD-1669,APRD-1672,,,"MFD shall annunciate ""COM1 FREQ MSMTCH"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Advisory|COM1 Active or standby requested and reported com frequencies do not match for more than 1 seconds.|0.0|0.5|YES| |",
Requirement,DMFDREQ-351,75819,MFD Right Feather ISO Vivisum Discrete Output,Changed Requirement,,,,,,,,,,,,,"The MFD Right shall set the FTHR ISO Vivisun discrete output on *discrete_out_1* (index 0) to the active state (5V) when any of the following CAS messages are thrown:
 * TBD and to the inactive state (0V) when none of these CAS messages are thrown.",
Requirement,DMFDREQ-352,75820,MFD Right LOCK FAULT Vivisun Light,Changed Requirement,,,,,,,,,,,,,"The MFD Right shall set the LOCK FAULT Vivisun discrete output on *discrete_out_2* (index 1) to the active state (5V) when any of the following CAS messages are thrown:
 * TBD

and to the inactive state (0V) when none of these CAS messages are thrown.",
Requirement,DMFDREQ-346,75814,MFD Left LOCK FAULT Vivisun Light,Changed Requirement,,,,,,,,,,,,,"The MFD Left shall set the LOCK FAULT Vivisun discrete output on *discrete_out_2* (index 1) to the active state (5V) when any of the following CAS messages are thrown:
 * TBD

and to the inactive state (0V) when none of these CAS messages are thrown.",
Requirement,DMFDREQ-345,75813,MFD Left FTHR ISO Vivisun Light,Changed Requirement,,,,,,,,,,,,,"The MFD Left shall set the FTHR ISO Vivisun discrete output on *discrete_out_1* (index 0) to the active state (5V) when any of the following CAS messages are thrown:
 * TBD

and to the inactive state (0V) when none of these CAS messages are thrown.",
Requirement,DMFDREQ-1663,82040,FTHR R PNEU JAM CAS Message,Changed Requirement,,,,,,,,,,,,,"MFD shall annunciate ""FTHR R PNEU JAM"" CAS message for these conditions:
||CAS Level||Condition Summary||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|TBD|1.0|0.5|TBD|TBD|

 ",
Requirement,DMFDREQ-1193,81569,FTHR L PNEU LEAK CAS Message,Review Deprecation Request,,,,,,,,MFD-3856,,,,,"The MFD shall annunciate FTHR L PNEU LEAK message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||Data Dictionary IDs||
|Caution|nan|3.0|3.0|YES| | |
|Caution|Feather is Down And
Feather Actuator Extend Valve is Open And 
Feather Down Pressure is less than 450 PSI|3.0|3.0|YES| | |
| |Feather is Down And
Feather Actuator Retract Valve is Open And
 * Feather Down Pressure is less than 450 PSI Or
 * Feather Down Pressure Switch is not closed Or
 * Feather is not OK To Lock| | | | | |
| |Feather is Down And
Feather Actuator Vent Valve is Open And
 * Feather Down Pressure is less than 450 PSI Or
 * Feather Down Pressure Switch is not closed| | | | | |
| |Feather is Down And
Feather Up Pressure is greater than 15 PSI And
 * Feather Up Pressure Switch is closed Or
 * Feather is not OK To Lock| | | | | |
| |Feather is Down And
Feather Down Pressure is less than 450 PSI And
 * Feather Up Pressure Switch is closed Or
 * Feather Down Pressure Switch is not closed Or
 * Feather is not OK To Lock| | | | | |
| |Feather is Down And
Feather Up Pressure Switch is closed And
Feather is not OK To Lock| | | | | |
| |Feather is Down And
Feather Down Pressure Switch is closed And
Feather is not OK To Lock| | | | | |
| |Feather is Down And
Feather Up Pressure is greater than 15 PSI And
Feather Up Pressure is less than or equal to 450 PSI| | | | | |",
Requirement,DMFDREQ-1191,81567,FTHR L MECH JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3854,,,,,"The MFD shall annunciate FTHR L MECH JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|Left Feather Position and Right Feather Position differ by 4° or more|1.0|5.0|YES| |",
Requirement,DMFDREQ-1194,81570,FTHR R MECH JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3857,,,,,"The MFD shall annunciate FTHR R MECH JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|Left Feather Position and Right Feather Position differ by 4° or more|1.0|5.0|YES| |",
Requirement,DMFDREQ-1199,81575,LOCK L MECH JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3862,,,,,"The MFD shall annunciate LOCK L MECH JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|Left Feather Lock Cable Position and Right Feather Lock Cable Position differ by more than 4°|1.0|3.0|YES| |",
Requirement,DMFDREQ-1202,81578,LOCK R MECH JAM CAS Message,Review Deprecation Request,,,,,,,,MFD-3865,,,,,"The MFD shall annunciate LOCK R MECH JAM message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Warning|Left Feather Lock Cable Position and Right Feather Lock Cable Position differ by more than 4°|1.0|3.0|YES| |",
